hisse,fark,adet2,tks2,tip,donem,yukleme
GLRMK,137572,2998941,38760000,yabanci,2026_01,2026-04-18 13:52
KZGYO,132350,1878902,49999985,yabanci,2026_01,2026-04-18 13:52
PENTA,131088,13519482,181070136,yabanci,2026_01,2026-04-18 13:52
TCKRC,126556,2710744,70000000,yabanci,2026_01,2026-04-18 13:52
VAKKO,122802,2249196,30789786,yabanci,2026_01,2026-04-18 13:52
DGATE,121636,356255,15227271,yabanci,2026_01,2026-04-18 13:52
EGGUB,121274,1342018,75862114,yabanci,2026_01,2026-04-18 13:52
PKART,120861,3486114,11048497,yabanci,2026_01,2026-04-18 13:52
GWIND,112240,10710194,179165491,yabanci,2026_01,2026-04-18 13:52
PNSUT,111851,2006721,128323851,yabanci,2026_01,2026-04-18 13:52
IHEVA,108995,3607167,291631239,yabanci,2026_01,2026-04-18 13:52
TLMAN,106080,294882,10300000,yabanci,2026_01,2026-04-18 13:52
BAYRK,102461,104232,189751123,yabanci,2026_01,2026-04-18 13:52
GIPTA,99425,312019,51625912,yabanci,2026_01,2026-04-18 13:52
ZERGY,95888,95888,156799985,yabanci,2026_01,2026-04-18 13:52
MSGYO,95268,127642,169650150,yabanci,2026_01,2026-04-18 13:52
KCAER,93207,72973844,496494775,yabanci,2026_01,2026-04-18 13:52
DESA,92095,23169062,171107590,yabanci,2026_01,2026-04-18 13:52
BESLR,88353,12589622,658098036,yabanci,2026_01,2026-04-18 13:52
DSTKF,88151,4651611,82195267,yabanci,2026_01,2026-04-18 13:52
GOLTS,84610,834916,12422783,yabanci,2026_01,2026-04-18 13:52
DERIM,84395,562971,40403770,yabanci,2026_01,2026-04-18 13:52
GARFA,83128,103534,138399778,yabanci,2026_01,2026-04-18 13:52
ONRYT,82263,448330,19730000,yabanci,2026_01,2026-04-18 13:52
NUHCM,78107,6485714,33135899,yabanci,2026_01,2026-04-18 13:52
GUNDG,77742,81742,18968972,yabanci,2026_01,2026-04-18 13:52
FORTE,71459,71459,21999999,yabanci,2026_01,2026-04-18 13:52
AKSUE,70316,70317,56376184,yabanci,2026_01,2026-04-18 13:52
KLSER,69754,5919794,109457566,yabanci,2026_01,2026-04-18 13:52
PAMEL,69075,426875,21533681,yabanci,2026_01,2026-04-18 13:52
RAYSG,66423,44220698,51947024,yabanci,2026_01,2026-04-18 13:52
MARKA,63584,64914,20752018,yabanci,2026_01,2026-04-18 13:52
BAHKM,60980,77913,23289000,yabanci,2026_01,2026-04-18 13:52
TTRAK,58646,6645985,24967458,yabanci,2026_01,2026-04-18 13:52
NUGYO,53698,11735037,324943976,yabanci,2026_01,2026-04-18 13:52
KLGYO,53338,6735455,689399869,yabanci,2026_01,2026-04-18 13:52
BRKSN,52678,126423,62639942,yabanci,2026_01,2026-04-18 13:52
ARTMS,52634,73177,24199999,yabanci,2026_01,2026-04-18 13:52
DUNYH,48814,2484429,36443197,yabanci,2026_01,2026-04-18 13:52
BRISA,46362,2253597,31247472,yabanci,2026_01,2026-04-18 13:52
EYGYO,45896,216026,341859667,yabanci,2026_01,2026-04-18 13:52
ARFYE,43980,43980,47000000,yabanci,2026_01,2026-04-18 13:52
AYCES,43007,44389,1895369,yabanci,2026_01,2026-04-18 13:52
BFREN,42249,6209079,24586148,yabanci,2026_01,2026-04-18 13:52
FMIZP,41918,137430,3497751,yabanci,2026_01,2026-04-18 13:52
AVPGY,41397,3309560,100000000,yabanci,2026_01,2026-04-18 13:52
BIGEN,40121,62269,115500000,yabanci,2026_01,2026-04-18 13:52
ERBOS,35836,357915,15899843,yabanci,2026_01,2026-04-18 13:52
MZHLD,34543,34544,72215314,yabanci,2026_01,2026-04-18 13:52
PKENT,29925,56812,23766169,yabanci,2026_01,2026-04-18 13:52
BRLSM,29591,612340,108025075,yabanci,2026_01,2026-04-18 13:52
VAKFA,26119,629935,224999701,yabanci,2026_01,2026-04-18 13:52
ELITE,24688,78101,44650000,yabanci,2026_01,2026-04-18 13:52
ALKA,21793,24381,330750000,yabanci,2026_01,2026-04-18 13:52
TGSAS,19679,184715,12348294,yabanci,2026_01,2026-04-18 13:52
BRYAT,17256,426257,10264685,yabanci,2026_01,2026-04-18 13:52
EBEBK,15240,3880021,40534692,yabanci,2026_01,2026-04-18 13:52
TMPOL,15096,15615,11039990,yabanci,2026_01,2026-04-18 13:52
UFUK,14841,882233,46845974,yabanci,2026_01,2026-04-18 13:52
MAALT,14096,30559,4763850,yabanci,2026_01,2026-04-18 13:52
GOODY,13808,64599976,132804473,yabanci,2026_01,2026-04-18 13:52
KAPLM,13388,225561,4563571,yabanci,2026_01,2026-04-18 13:52
KIMMR,11686,6903882,75000000,yabanci,2026_01,2026-04-18 13:52
MOPAS,9499,99579,57330000,yabanci,2026_01,2026-04-18 13:52
PCILT,9205,311919,45014183,yabanci,2026_01,2026-04-18 13:52
LYDYE,7828,176040,1391287,yabanci,2026_01,2026-04-18 13:52
DNISI,7039,7040,59171727,yabanci,2026_01,2026-04-18 13:52
ICBCT,6878,927772,216761845,yabanci,2026_01,2026-04-18 13:52
REEDR,6418,43760936,632558010,yabanci,2026_01,2026-04-18 13:52
CMBTN,3778,4802,1023000,yabanci,2026_01,2026-04-18 13:52
ANGEN,3373,322597,86440002,yabanci,2026_01,2026-04-18 13:52
RUBNS,3151,1002561,42377765,yabanci,2026_01,2026-04-18 13:52
EKOS,2942,2942,307199852,yabanci,2026_01,2026-04-18 13:52
BVSAN,2907,4808,13749998,yabanci,2026_01,2026-04-18 13:52
ALFAS,2763,6983459,84639559,yabanci,2026_01,2026-04-18 13:52
EGEEN,1949,111528,1137161,yabanci,2026_01,2026-04-18 13:52
